Label,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
,432,255,255,255,229.280,12.785,102.083,217,0,27,27,32.051,17.161,55.420,0.521,1.868,0.535,0.821
,392,255,255,255,99.222,17.122,102.811,88,2,23,31,33.641,14.836,113.690,0.466,2.268,0.441,0.802
,483,255,255,255,186.850,37.421,113.882,174,20,26,34,37.731,16.299,117.438,0.468,2.315,0.432,0.809
,428,255,255,255,7.682,39.143,102.912,0,24,19,37,34.639,15.732,72.319,0.508,2.202,0.454,0.866
,448,255,255,255,224.949,127.464,101.054,210,114,30,28,34.492,16.538,141.029,0.551,2.086,0.479,0.822
,74,255,255,255,597.905,133.000,44.142,595,123,5,20,18.199,5.177,90.000,0.477,3.515,0.284,0.925
,464,255,255,255,329.248,144.000,105.296,312,134,34,20,36.110,16.361,8.683,0.526,2.207,0.453,0.828
,11,255,255,255,599.227,169.864,17.657,598,166,2,8,7.342,1.908,91.474,0.443,3.849,0.260,0.815
,325,255,255,255,10.555,181.866,91.598,0,168,21,24,23.888,17.323,138.833,0.487,1.379,0.725,0.840
,366,255,255,255,593.923,202.773,98.669,584,181,16,37,35.220,13.231,78.270,0.472,2.662,0.376,0.863
,466,255,255,255,214.180,201.457,112.711,204,184,21,35,37.021,16.027,79.458,0.461,2.310,0.433,0.813
,112,255,255,255,3.473,208.804,48.042,0,200,8,18,16.912,8.432,89.045,0.610,2.006,0.499,0.914
,427,255,255,255,187.167,217.247,103.640,172,203,30,28,35.213,15.439,42.081,0.500,2.281,0.438,0.824
,65,255,255,255,474.346,226.669,36.870,469,221,11,10,11.636,7.112,146.219,0.601,1.636,0.611,0.812
,448,255,255,255,21.821,265.996,113.539,11,249,22,34,36.396,15.672,72.445,0.437,2.322,0.431,0.801
,433,255,255,255,72.038,280.532,110.468,62,265,19,33,34.176,16.131,95.257,0.446,2.119,0.472,0.812
,452,255,255,255,587.577,288.819,110.225,575,273,25,32,35.768,16.090,120.365,0.468,2.223,0.450,0.817
,183,255,255,255,594.604,338.478,64.627,587,323,13,24,20.036,11.629,67.920,0.551,1.723,0.580,0.834
,27,255,255,255,28.500,363.796,27.899,22,362,13,3,11.386,3.019,0.000,0.436,3.771,0.265,0.871
,15,255,255,255,127.300,364.100,19.071,123,363,9,2,8.818,2.166,178.622,0.518,4.072,0.246,0.909
,16,255,255,255,525.375,364.125,21.071,520,363,10,2,9.695,2.101,2.145,0.453,4.614,0.217,0.889
