Index,Pixel Count,"Position(x, y)"
1,404,"(5.673267326732673, 14.69059405940594)"
2,2297,"(42.40618197649108, 22.085764040052243)"
3,3622,"(99.94561016013252, 33.24102705687466)"
4,1138,"(148.76274165202108, 11.550966608084359)"
6,909,"(229.86688668866887, 4.281628162816282)"
7,6608,"(337.6525423728813, 27.69173728813559)"
8,569,"(426.33919156414765, 5.216168717047451)"
10,1688,"(495.32168246445497, 17.531990521327014)"
11,89,"(515.5280898876405, 3.5730337078651684)"
12,1727,"(550.1268094962362, 15.193398957730167)"
13,481,"(603.0831600831601, 5.623700623700624)"
15,2700,"(668.0611111111111, 20.944444444444443)"
22,5,"(521.8, 7.4)"
25,362,"(625.9696132596686, 21.803867403314918)"
35,267,"(454.88389513108615, 18.55805243445693)"
38,593,"(226.07251264755482, 13.954468802698145)"
39,2446,"(419.0748160261652, 43.47751430907604)"
49,7506,"(587.4817479349854, 63.55675459632294)"
60,10019,"(228.86216189240443, 61.68270286455734)"
76,5,"(147.0, 25.0)"
82,12,"(149.83333333333334, 26.083333333333332)"
85,4865,"(464.44933196300104, 68.30503597122302)"
100,726,"(139.0716253443526, 43.47382920110193)"
124,5,"(4.0, 36.0)"
132,2477,"(21.58740411788454, 65.39685102947114)"
155,293,"(646.4300341296928, 54.791808873720136)"
165,949,"(516.1433087460484, 66.80295047418335)"
171,1097,"(674.8705560619873, 62.941659070191434)"
175,6870,"(354.2953420669578, 91.26098981077148)"
184,3002,"(67.75616255829448, 84.01832111925383)"
202,4706,"(163.04164895877602, 97.96472588185296)"
246,7,"(315.14285714285717, 69.42857142857143)"
273,3461,"(662.3975729557932, 110.35481074833864)"
286,863,"(505.0730011587485, 97.12630359212051)"
297,1556,"(97.62467866323908, 111.8258354755784)"
309,2415,"(542.67950310559, 127.26501035196688)"
310,3256,"(18.573402948402947, 139.3943488943489)"
312,916,"(583.3755458515284, 115.30458515283843)"
320,1324,"(412.8489425981873, 121.29154078549848)"
332,2185,"(479.35697940503434, 126.64347826086957)"
334,462,"(287.84632034632034, 113.82034632034632)"
355,242,"(624.6074380165289, 116.81404958677686)"
359,13985,"(186.93771898462637, 174.19349302824455)"
399,835,"(313.8491017964072, 136.78323353293413)"
404,5937,"(595.4111504126663, 170.81488967491998)"
409,3171,"(59.02239041311889, 161.34657836644593)"
415,247,"(280.7004048582996, 126.48987854251013)"
424,260,"(693.2153846153847, 140.34615384615384)"
428,164,"(377.5121951219512, 129.83536585365854)"
434,5,"(625.0, 127.0)"
452,951,"(101.45005257623554, 145.54048370136698)"
461,11339,"(379.071964017991, 188.99532586647854)"
468,2704,"(277.2289201183432, 165.94008875739644)"
486,5798,"(478.03380476026217, 181.47499137633667)"
495,914,"(666.8512035010941, 159.4890590809628)"
496,281,"(328.3985765124555, 158.98220640569394)"
510,1036,"(537.53861003861, 173.46235521235522)"
512,659,"(308.42488619119877, 176.8391502276176)"
522,301,"(692.1395348837209, 175.22259136212625)"
527,782,"(95.12020460358056, 184.08184143222508)"
542,1015,"(673.1320197044334, 190.85812807881774)"
544,1072,"(635.0690298507462, 193.7667910447761)"
564,221,"(6.235294117647059, 197.42533936651583)"
570,1145,"(545.3056768558952, 212.31266375545852)"
579,8050,"(58.4583850931677, 243.18521739130435)"
596,359,"(690.5069637883008, 215.99721448467966)"
602,487,"(610.1827515400411, 213.00821355236138)"
605,5813,"(291.7421297092723, 238.93256494065028)"
611,2460,"(650.5451219512195, 232.88943089430893)"
633,1274,"(7.379905808477237, 251.712715855573)"
641,6660,"(510.5151651651652, 262.50285285285287)"
648,2091,"(129.10569105691056, 238.01578192252512)"
677,6504,"(426.98447109471095, 270.39760147601476)"
704,74,"(610.3243243243244, 231.6891891891892)"
706,6111,"(188.76435935198822, 265.2017673048601)"
709,868,"(564.1278801843318, 252.49539170506912)"
713,1535,"(600.9185667752442, 253.3114006514658)"
715,253,"(691.9328063241106, 241.7391304347826)"
719,5,"(618.0, 234.0)"
744,220,"(675.6636363636363, 251.46818181818182)"
752,1111,"(368.22232223222323, 264.02340234023404)"
761,177,"(687.6892655367232, 261.8474576271187)"
770,3534,"(584.2770232031692, 306.6593095642332)"
784,2795,"(650.1016100178891, 286.83792486583184)"
800,808,"(343.03465346534654, 286.1299504950495)"
804,5,"(252.0, 268.0)"
817,1134,"(128.37654320987653, 298.5026455026455)"
819,1630,"(261.6233128834356, 302.6030674846626)"
823,424,"(691.7688679245283, 291.1179245283019)"
833,384,"(108.5234375, 294.6171875)"
835,995,"(287.6753768844221, 289.4110552763819)"
846,577,"(315.369150779896, 295.948006932409)"
848,11,"(611.0909090909091, 282.54545454545456)"
849,848,"(78.25471698113208, 296.88443396226415)"
852,9949,"(193.08583777264047, 345.12091667504274)"
870,1009,"(12.247770069375619, 312.43012884043605)"
880,2017,"(538.8651462568171, 327.4293505205751)"
885,1212,"(366.05280528052805, 325.88696369636966)"
893,3086,"(324.66267012313676, 342.851263771873)"
899,6246,"(436.11783541466536, 340.152897854627)"
905,12164,"(74.78946070371589, 364.9072673462677)"
921,496,"(300.1733870967742, 322.00604838709677)"
932,1732,"(502.3013856812933, 344.32678983833716)"
933,2599,"(637.4959599846095, 337.2708734128511)"
938,160,"(681.70625, 318.35)"
